Virtual Address: 56480, Virtual Address: 1489, Virtual Address: 28438, Main Memory Address: 110, Offset: 22

Main Memory Address: 110, Offset: 22

Virtual Address: 65449, Main Memory Address: 120, Offset: 169

Main Memory Address: 120, Offset: 169

Virtual Address: 12441, Virtual Address: 58530, Main Memory Address: 61, Offset: 162

Main Memory Address: 61, Offset: 162

Virtual Address: 63570, Main Memory Address: 111, Offset: 82

Main Memory Address: 111, Offset: 82

Virtual Address: 26251, Virtual Address: 15972, Main Memory Address: 83, Offset: 100

Main Memory Address: 83, Offset: 100

Virtual Address: 35826, Virtual Address: 5491, Main Memory Address: 85, Offset: 115

Main Memory Address: 85, Offset: 115

Virtual Address: 54253, Virtual Address: 49655, Virtual Address: 5868, Virtual Address: 20163, Virtual Address: 51079, Virtual Address: 21398, Main Memory Address: 36, Offset: 150

Main Memory Address: 36, Offset: 150

Virtual Address: 32756, Main Memory Address: 38, Offset: 244

Main Memory Address: 38, Offset: 244

Virtual Address: 64196, Main Memory Address: 18, Offset: 196

Main Memory Address: 18, Offset: 196

Virtual Address: 43218, Main Memory Address: 69, Offset: 210

Main Memory Address: 69, Offset: 210

Virtual Address: 21583, Virtual Address: 25086, Virtual Address: 45515, Virtual Address: 12893, Main Memory Address: 119, Offset: 93

Main Memory Address: 119, Offset: 93

Virtual Address: 22914, Virtual Address: 58969, Main Memory Address: 59, Offset: 89

Main Memory Address: 59, Offset: 89

Virtual Address: 20094, Virtual Address: 13730, Virtual Address: 44059, Virtual Address: 28931, Main Memory Address: 65, Offset: 3

Main Memory Address: 65, Offset: 3

Virtual Address: 13533, Virtual Address: 33134, Virtual Address: 28483, Main Memory Address: 110, Offset: 67

Main Memory Address: 110, Offset: 67

Virtual Address: 1220, Virtual Address: 38174, Main Memory Address: 80, Offset: 30

Main Memory Address: 80, Offset: 30

Virtual Address: 53502, Virtual Address: 43328, Main Memory Address: 116, Offset: 64

Main Memory Address: 116, Offset: 64

Virtual Address: 4970, Main Memory Address: 54, Offset: 106

Main Memory Address: 54, Offset: 106

Virtual Address: 8090, Virtual Address: 2661, Virtual Address: 53903, Virtual Address: 11025, Virtual Address: 26627, Virtual Address: 18117, Main Memory Address: 74, Offset: 197

Main Memory Address: 74, Offset: 197

Virtual Address: 14505, Main Memory Address: 23, Offset: 169

Main Memory Address: 23, Offset: 169

Virtual Address: 61528, Main Memory Address: 91, Offset: 88

Main Memory Address: 91, Offset: 88

Virtual Address: 20423, Main Memory Address: 66, Offset: 199

Main Memory Address: 66, Offset: 199

Virtual Address: 26962, Main Memory Address: 106, Offset: 82

Main Memory Address: 106, Offset: 82

Virtual Address: 36392, Main Memory Address: 57, Offset: 40

Main Memory Address: 57, Offset: 40

Virtual Address: 11365, Virtual Address: 50882, Main Memory Address: 103, Offset: 194

Main Memory Address: 103, Offset: 194

Virtual Address: 41668, Virtual Address: 30497, Main Memory Address: 64, Offset: 33

Main Memory Address: 64, Offset: 33

Virtual Address: 36216, Virtual Address: 5619, Main Memory Address: 85, Offset: 243

Main Memory Address: 85, Offset: 243

